datetime,open,high,low,close,volume
2023-01-03 09:20:00,19666.0,19744.0,19589.0,19619.0,3461
2023-01-03 09:25:00,19620.0,19620.0,19542.0,19566.0,2275
2023-01-03 09:30:00,19562.0,19562.0,19420.0,19455.0,2849
2023-01-03 09:35:00,19455.0,19538.0,19428.0,19507.0,4565
2023-01-03 09:40:00,19506.0,19508.0,19382.0,19393.0,3691
2023-01-03 09:45:00,19394.0,19476.0,19338.0,19467.0,3976
2023-01-03 09:50:00,19470.0,19523.0,19455.0,19463.0,2803
2023-01-03 09:55:00,19460.0,19503.0,19398.0,19497.0,2488
2023-01-03 10:00:00,19492.0,19615.0,19459.0,19604.0,3513
2023-01-03 10:05:00,19609.0,19687.0,19588.0,19678.0,3071
2023-01-03 10:10:00,19681.0,19720.0,19663.0,19670.0,2567
2023-01-03 10:15:00,19672.0,19764.0,19652.0,19738.0,3157
2023-01-03 10:20:00,19739.0,19785.0,19721.0,19772.0,2385
2023-01-03 10:25:00,19774.0,19858.0,19774.0,19854.0,3005
2023-01-03 10:30:00,19855.0,19973.0,19855.0,19941.0,3498
2023-01-03 10:35:00,19943.0,19995.0,19931.0,19961.0,2459
2023-01-03 10:40:00,19963.0,20008.0,19950.0,20008.0,1644
2023-01-03 10:45:00,20008.0,20023.0,19961.0,19980.0,1907
2023-01-03 10:50:00,19979.0,20012.0,19933.0,19994.0,1825
2023-01-03 10:55:00,19996.0,20043.0,19971.0,19997.0,2232
2023-01-03 11:00:00,19995.0,20022.0,19971.0,20008.0,1152
2023-01-03 11:05:00,20011.0,20058.0,19990.0,20035.0,1556
2023-01-03 11:10:00,20038.0,20048.0,19995.0,19997.0,1008
2023-01-03 11:15:00,19999.0,20025.0,19991.0,20005.0,615
2023-01-03 11:20:00,20004.0,20025.0,19967.0,20016.0,1061
2023-01-03 11:25:00,20017.0,20092.0,20013.0,20075.0,2134
2023-01-03 11:30:00,20076.0,20095.0,20053.0,20091.0,925
2023-01-03 11:35:00,20092.0,20116.0,20082.0,20108.0,1234
2023-01-03 11:40:00,20110.0,20111.0,20072.0,20096.0,808
2023-01-03 11:45:00,20097.0,20133.0,20091.0,20114.0,867
2023-01-03 11:50:00,20112.0,20138.0,20109.0,20133.0,648
2023-01-03 11:55:00,20132.0,20145.0,20118.0,20131.0,629
2023-01-03 12:00:00,20131.0,20139.0,20114.0,20128.0,415
2023-01-03 13:05:00,20120.0,20145.0,20092.0,20140.0,1374
2023-01-03 13:10:00,20140.0,20157.0,20128.0,20149.0,1068
2023-01-03 13:15:00,20150.0,20187.0,20145.0,20177.0,1172
2023-01-03 13:20:00,20176.0,20189.0,20135.0,20145.0,971
2023-01-03 13:25:00,20144.0,20180.0,20137.0,20143.0,735
2023-01-03 13:30:00,20142.0,20142.0,20101.0,20118.0,1161
2023-01-03 13:35:00,20120.0,20177.0,20120.0,20126.0,1090
2023-01-03 13:40:00,20129.0,20176.0,20123.0,20169.0,673
2023-01-03 13:45:00,20167.0,20195.0,20135.0,20193.0,800
2023-01-03 13:50:00,20193.0,20226.0,20184.0,20195.0,1901
2023-01-03 13:55:00,20198.0,20215.0,20182.0,20214.0,684
2023-01-03 14:00:00,20214.0,20232.0,20192.0,20203.0,837
2023-01-03 14:05:00,20204.0,20243.0,20204.0,20240.0,727
2023-01-03 14:10:00,20241.0,20253.0,20206.0,20248.0,1043
2023-01-03 14:15:00,20250.0,20276.0,20243.0,20257.0,1176
2023-01-03 14:20:00,20260.0,20305.0,20260.0,20288.0,1376
2023-01-03 14:25:00,20289.0,20303.0,20270.0,20275.0,732
2023-01-03 14:30:00,20275.0,20298.0,20270.0,20273.0,520
2023-01-03 14:35:00,20272.0,20280.0,20260.0,20266.0,650
2023-01-03 14:40:00,20267.0,20273.0,20228.0,20232.0,943
2023-01-03 14:45:00,20231.0,20262.0,20213.0,20248.0,983
2023-01-03 14:50:00,20248.0,20253.0,20203.0,20205.0,825
2023-01-03 14:55:00,20207.0,20227.0,20204.0,20214.0,652
2023-01-03 15:00:00,20214.0,20225.0,20181.0,20190.0,699
2023-01-03 15:05:00,20188.0,20207.0,20173.0,20186.0,760
2023-01-03 15:10:00,20185.0,20192.0,20163.0,20172.0,525
2023-01-03 15:15:00,20174.0,20194.0,20171.0,20190.0,477
2023-01-03 15:20:00,20189.0,20204.0,20167.0,20183.0,609
2023-01-03 15:25:00,20183.0,20183.0,20154.0,20175.0,501
2023-01-03 15:30:00,20177.0,20185.0,20162.0,20170.0,444
2023-01-03 15:35:00,20170.0,20193.0,20163.0,20185.0,420
2023-01-03 15:40:00,20186.0,20190.0,20150.0,20153.0,619
2023-01-03 15:45:00,20154.0,20194.0,20151.0,20185.0,436
2023-01-03 15:50:00,20187.0,20192.0,20171.0,20190.0,348
2023-01-03 15:55:00,20190.0,20206.0,20181.0,20201.0,563
2023-01-03 16:00:00,20200.0,20236.0,20197.0,20232.0,814
2023-01-03 16:05:00,20232.0,20262.0,20222.0,20233.0,1162
2023-01-03 16:10:00,20233.0,20241.0,20203.0,20215.0,1015
2023-01-03 16:15:00,20211.0,20236.0,20206.0,20215.0,373
2023-01-03 16:20:00,20213.0,20235.0,20208.0,20227.0,379
2023-01-03 16:25:00,20228.0,20232.0,20204.0,20210.0,314
2023-01-03 16:30:00,20212.0,20247.0,20205.0,20242.0,381
2023-01-03 17:20:00,20245.0,20291.0,20245.0,20267.0,470
2023-01-03 17:25:00,20263.0,20269.0,20252.0,20265.0,187
2023-01-03 17:30:00,20264.0,20271.0,20241.0,20242.0,142
2023-01-03 17:35:00,20243.0,20260.0,20241.0,20250.0,164
2023-01-03 17:40:00,20253.0,20257.0,20244.0,20249.0,102
2023-01-03 17:45:00,20251.0,20268.0,20251.0,20265.0,126
2023-01-03 17:50:00,20263.0,20276.0,20261.0,20270.0,129
2023-01-03 17:55:00,20266.0,20285.0,20266.0,20282.0,203
2023-01-03 18:00:00,20279.0,20298.0,20274.0,20296.0,131
2023-01-03 18:05:00,20297.0,20316.0,20278.0,20279.0,502
2023-01-03 18:10:00,20281.0,20286.0,20268.0,20274.0,80
2023-01-03 18:15:00,20274.0,20281.0,20270.0,20277.0,54
2023-01-03 18:20:00,20278.0,20281.0,20259.0,20260.0,82
2023-01-03 18:25:00,20260.0,20262.0,20250.0,20256.0,117
2023-01-03 18:30:00,20256.0,20262.0,20254.0,20259.0,44
2023-01-03 18:35:00,20260.0,20268.0,20248.0,20268.0,70
2023-01-03 18:40:00,20262.0,20272.0,20248.0,20265.0,78
2023-01-03 18:45:00,20264.0,20281.0,20261.0,20281.0,43
2023-01-03 18:50:00,20280.0,20281.0,20260.0,20265.0,60
2023-01-03 18:55:00,20263.0,20267.0,20259.0,20267.0,26
2023-01-03 19:00:00,20269.0,20273.0,20260.0,20260.0,36
2023-01-03 19:05:00,20259.0,20259.0,20248.0,20256.0,139
2023-01-03 19:10:00,20254.0,20262.0,20249.0,20262.0,55
2023-01-03 19:15:00,20262.0,20263.0,20248.0,20256.0,73
2023-01-03 19:20:00,20253.0,20260.0,20246.0,20251.0,87
2023-01-03 19:25:00,20250.0,20257.0,20243.0,20243.0,80
2023-01-03 19:30:00,20243.0,20253.0,20243.0,20244.0,39
2023-01-03 19:35:00,20247.0,20266.0,20246.0,20265.0,87
2023-01-03 19:40:00,20262.0,20270.0,20260.0,20265.0,61
2023-01-03 19:45:00,20269.0,20276.0,20207.0,20210.0,406
2023-01-03 19:50:00,20210.0,20216.0,20189.0,20196.0,313
2023-01-03 19:55:00,20197.0,20201.0,20190.0,20194.0,159
2023-01-03 20:00:00,20196.0,20203.0,20183.0,20185.0,134
2023-01-03 20:05:00,20184.0,20186.0,20165.0,20174.0,276
2023-01-03 20:10:00,20173.0,20190.0,20170.0,20180.0,230
2023-01-03 20:15:00,20177.0,20189.0,20172.0,20186.0,109
2023-01-03 20:20:00,20183.0,20196.0,20175.0,20195.0,89
2023-01-03 20:25:00,20193.0,20196.0,20178.0,20185.0,132
2023-01-03 20:30:00,20191.0,20213.0,20189.0,20194.0,222
2023-01-03 20:35:00,20198.0,20211.0,20193.0,20210.0,135
2023-01-03 20:40:00,20210.0,20210.0,20195.0,20199.0,66
2023-01-03 20:45:00,20198.0,20207.0,20195.0,20204.0,59
2023-01-03 20:50:00,20206.0,20206.0,20187.0,20206.0,66
2023-01-03 20:55:00,20206.0,20208.0,20202.0,20207.0,119
